,customer_number,id,e_pay_accumulate_limit,e_pay_single_limit,trade_time,trade_amount,card_area,merchant_code,receiving_customer_code,pre_trade_result,is_common_ip,phone_equal,sign
0,231600001373039,5125107,0.0,0.0,0,2029.40002,0.0034453914815827,0.4351046719609952,0.4351046719609952,0.0,1,1,0
1,231500015099540,4971168,3000.0,3000.0,0,77.5,0.0029109636150035,0.0877919231735064,0.0877919231735064,0.0,1,0,0
2,110900029226886,4529122,5000.0,5000.0,0,88.0,0.0029589626128781,0.0414812802932699,0.0414812802932699,0.0,0,0,0
3,140600018048112,4971160,5000.0,5000.0,0,167.0,0.0024241445105438,0.4351046719609952,0.4351046719609952,0.0,0,0,0
4,231300005303228,4529115,5000.0,5000.0,0,115.0,0.0014528477161549,0.0877919231735064,0.0877919231735064,0.0,1,0,0
5,270300003534368,1269623,5000.0,5000.0,0,180.0,0.0035406090058217,0.0414812802932699,0.0414812802932699,1.0,0,0,1
6,231600007215366,1269621,5000.0,5000.0,0,100.0,0.0034453914815827,0.0150002721894391,0.0150002721894391,0.0,1,0,0
7,201400010064505,4971175,600.0,600.0,0,85.0,0.0014587012524811,0.4351046719609952,0.4351046719609952,0.0,1,0,0
8,440200125168351,4711178,5000.0,5000.0,0,260.0,0.036051149761361,0.4351046719609952,0.4351046719609952,0.0,0,0,0
9,20000109206316,1269528,1000.0,500.0,0,41.8,0.0081775853655348,0.0015976251812888,0.0015976251812888,0.0,0,0,1
10,200500005954394,4971138,3000.0,3000.0,0,301.5,0.0249854295724947,0.0877919231735064,0.0877919231735064,0.0,0,0,0
11,230900006503451,4711180,5000.0,5000.0,0,350.0,0.036051149761361,7.80471510155788e-06,7.80471510155788e-06,0.0,1,0,0
12,231300005303228,4529114,5000.0,5000.0,0,115.0,0.0014528477161549,0.0877919231735064,0.0877919231735064,0.0,1,0,0
13,230900005904790,3118582,5000.0,5000.0,0,100.0,0.006022118172362,0.0207494204511242,0.0207494204511242,0.0,1,0,0
14,170400001570511,4529091,5000.0,5000.0,0,53.8,0.0024296078111149,1.4828958692959972e-05,1.4828958692959972e-05,0.0,1,0,0
15,150700013373855,3118322,0.0,0.0,0,179.20004,0.0081775853655348,0.4351046719609952,0.4351046719609952,0.0,0,1,0
16,120400043991621,3118627,4000.0,4000.0,0,200.0,0.0086897697940745,0.4351046719609952,0.4351046719609952,0.0,1,0,0
17,350000076911970,3118234,5000.0,5000.0,0,1000.0,0.0092476118059583,0.0044572727944997,0.0044572727944997,0.0,0,0,0
